number_particles:302,cluster_radius:23.000000,fractal_Dimention:1.821221,
number_particles:303,cluster_radius:23.000000,fractal_Dimention:1.822275,
number_particles:304,cluster_radius:23.000000,fractal_Dimention:1.823326,
number_particles:305,cluster_radius:23.000000,fractal_Dimention:1.824373,
number_particles:306,cluster_radius:23.000000,fractal_Dimention:1.825417,
number_particles:307,cluster_radius:23.000000,fractal_Dimention:1.826458,
number_particles:308,cluster_radius:23.000000,fractal_Dimention:1.827495,
number_particles:309,cluster_radius:23.000000,fractal_Dimention:1.828529,
number_particles:310,cluster_radius:23.000000,fractal_Dimention:1.829559,
number_particles:311,cluster_radius:23.000000,fractal_Dimention:1.830586,
number_particles:312,cluster_radius:23.000000,fractal_Dimention:1.831610,
number_particles:313,cluster_radius:23.430749,fractal_Dimention:1.821850,
number_particles:314,cluster_radius:23.430749,fractal_Dimention:1.822861,
number_particles:315,cluster_radius:23.430749,fractal_Dimention:1.823869,
number_particles:316,cluster_radius:23.430749,fractal_Dimention:1.824874,
number_particles:317,cluster_radius:24.000000,fractal_Dimention:1.812084,
number_particles:318,cluster_radius:24.000000,fractal_Dimention:1.813075,
number_particles:319,cluster_radius:24.000000,fractal_Dimention:1.814063,
number_particles:320,cluster_radius:24.000000,fractal_Dimention:1.815048,
number_particles:321,cluster_radius:24.000000,fractal_Dimention:1.816030,
number_particles:322,cluster_radius:24.000000,fractal_Dimention:1.817009,
number_particles:323,cluster_radius:24.000000,fractal_Dimention:1.817984,
number_particles:324,cluster_radius:25.000000,fractal_Dimention:1.795889,
number_particles:325,cluster_radius:25.019992,fractal_Dimention:1.796400,
number_particles:326,cluster_radius:25.019992,fractal_Dimention:1.797354,
number_particles:327,cluster_radius:25.019992,fractal_Dimention:1.798306,
number_particles:328,cluster_radius:25.019992,fractal_Dimention:1.799254,
number_particles:329,cluster_radius:25.019992,fractal_Dimention:1.800200,
number_particles:330,cluster_radius:25.019992,fractal_Dimention:1.801142,
number_particles:331,cluster_radius:25.019992,fractal_Dimention:1.802082,
number_particles:332,cluster_radius:25.019992,fractal_Dimention:1.803019,
number_particles:333,cluster_radius:26.019224,fractal_Dimention:1.782275,
number_particles:334,cluster_radius:27.018512,fractal_Dimention:1.762810,
number_particles:335,cluster_radius:27.018512,fractal_Dimention:1.763716,
number_particles:336,cluster_radius:27.018512,fractal_Dimention:1.764621,
number_particles:337,cluster_radius:27.018512,fractal_Dimention:1.765522,
number_particles:338,cluster_radius:27.018512,fractal_Dimention:1.766421,
number_particles:339,cluster_radius:27.018512,fractal_Dimention:1.767317,
number_particles:340,cluster_radius:27.018512,fractal_Dimention:1.768211,
number_particles:341,cluster_radius:27.018512,fractal_Dimention:1.769101,
number_particles:342,cluster_radius:27.018512,fractal_Dimention:1.769990,
number_particles:343,cluster_radius:27.018512,fractal_Dimention:1.770875,
number_particles:344,cluster_radius:27.018512,fractal_Dimention:1.771759,
number_particles:345,cluster_radius:28.017851,fractal_Dimention:1.753322,
number_particles:346,cluster_radius:28.017851,fractal_Dimention:1.754190,
number_particles:347,cluster_radius:28.017851,fractal_Dimention:1.755056,
number_particles:348,cluster_radius:28.017851,fractal_Dimention:1.755920,
number_particles:349,cluster_radius:28.017851,fractal_Dimention:1.756781,
number_particles:350,cluster_radius:28.017851,fractal_Dimention:1.757639,
number_particles:351,cluster_radius:28.017851,fractal_Dimention:1.758495,
number_particles:352,cluster_radius:29.017236,fractal_Dimention:1.741040,
number_particles:353,cluster_radius:29.017236,fractal_Dimention:1.741882,
number_particles:354,cluster_radius:29.017236,fractal_Dimention:1.742722,
number_particles:355,cluster_radius:29.017236,fractal_Dimention:1.743560,
number_particles:356,cluster_radius:29.017236,fractal_Dimention:1.744395,
number_particles:357,cluster_radius:29.017236,fractal_Dimention:1.745228,
number_particles:358,cluster_radius:29.017236,fractal_Dimention:1.746059,
number_particles:359,cluster_radius:29.017236,fractal_Dimention:1.746887,
number_particles:360,cluster_radius:29.017236,fractal_Dimention:1.747713,
number_particles:361,cluster_radius:29.017236,fractal_Dimention:1.748536,
number_particles:362,cluster_radius:29.017236,fractal_Dimention:1.749358,
number_particles:363,cluster_radius:29.017236,fractal_Dimention:1.750177,
number_particles:364,cluster_radius:29.017236,fractal_Dimention:1.750994,
number_particles:365,cluster_radius:29.017236,fractal_Dimention:1.751808,
number_particles:366,cluster_radius:29.017236,fractal_Dimention:1.752621,
number_particles:367,cluster_radius:29.017236,fractal_Dimention:1.753431,
number_particles:368,cluster_radius:29.017236,fractal_Dimention:1.754239,
number_particles:369,cluster_radius:29.017236,fractal_Dimention:1.755044,
number_particles:370,cluster_radius:29.017236,fractal_Dimention:1.755848,
